iter	Passed	Remaining
0	3	3392
1	7	3921
2	12	4191
3	17	4251
4	21	4261
5	25	4237
6	31	4486
7	35	4453
8	40	4415
9	45	4460
10	49	4475
11	54	4461
12	59	4516
13	64	4532
14	68	4506
15	73	4501
16	81	4692
17	85	4647
18	91	4714
19	95	4674
20	99	4646
21	104	4624
22	108	4600
23	112	4578
24	116	4547
25	122	4578
26	127	4585
27	131	4573
28	137	4597
29	141	4581
30	145	4558
31	150	4539
32	155	4570
33	160	4555
34	164	4542
35	186	4999
36	190	4969
37	195	4945
38	200	4945
39	205	4929
40	210	4913
41	215	4925
42	220	4905
43	224	4880
44	229	4876
45	234	4867
46	239	4848
47	244	4841
48	263	5107
49	267	5085
50	271	5056
51	277	5055
52	281	5028
53	285	5005
54	290	4982
55	294	4969
56	299	4947
57	303	4922
58	309	4940
59	314	4920
60	318	4902
61	322	4885
62	327	4868
63	331	4848
64	335	4830
65	340	4820
66	344	4794
67	347	4767
68	351	4746
69	357	4747
70	361	4725
71	365	4712
72	371	4722
73	375	4699
74	379	4683
75	383	4657
76	387	4640
77	390	4621
78	394	4603
79	398	4582
80	403	4576
81	406	4546
82	410	4530
83	412	4503
84	417	4492
85	421	4480
86	425	4470
87	428	4445
88	434	4446
89	437	4426
90	441	4405
91	444	4385
92	449	4386
93	452	4365
94	456	4346
95	459	4327
96	464	4327
97	468	4309
98	471	4291
99	474	4274
100	478	4258
101	481	4240
102	484	4222
103	487	4202
104	491	4186
105	496	4190
106	500	4175
107	503	4158
108	506	4140
109	512	4143
110	515	4126
111	518	4110
112	521	4095
113	526	4089
114	529	4076
115	532	4060
116	536	4046
117	541	4045
118	544	4033
119	548	4021
120	551	4008
121	556	4005
122	560	3995
123	563	3980
124	566	3965
125	570	3956
126	573	3945
127	577	3932
128	580	3920
129	585	3916
130	590	3915
131	593	3904
132	597	3894
133	603	3901
134	607	3889
135	610	3877
136	613	3865
137	619	3866
138	623	3861
139	627	3857
140	633	3860
141	637	3849
142	641	3845
143	647	3846
144	652	3847
145	656	3842
146	661	3838
147	665	3832
148	669	3821
149	673	3817
150	677	3810
151	681	3804
152	685	3793
153	688	3782
154	692	3777
155	696	3770
156	700	3760
157	703	3749
158	707	3744
159	711	3737
160	715	3726
161	718	3717
162	723	3714
163	726	3704
164	730	3697
165	734	3690
166	739	3691
167	743	3680
168	746	3669
169	749	3659
170	753	3651
171	756	3641
172	759	3631
173	763	3622
174	766	3613
175	772	3614
176	775	3606
177	779	3598
178	782	3590
